본분교,국공사립,학위과정유형,주야간,전공계열,전공_소분류_코드,학교유형,학교소재지역,성별,연령,혼인여부 및 배우자 학력,아버지 학력,어머니 학력,부모님 소득,부모님 자산,가정의 경제적 지원,대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부,구직기간(통합),건강한정도,재학중 일자리 경험,일자리 횟수,시간총합,연수횟수,토익,토스등급,오픽점수,토플ibt,탭스,체류시간,취업여부
1,3,3,1,2,11,1,8,1,25,0,6,4,3,4,40,1,0,93.33,700,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,3,1,24,0,4,4,3,1,0,1,0,88.89,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
1,3,3,1,2,11,1,3,2,22,0,4,4,2,1,0,1,4,93.33,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,2,2,12,1,1,2,23,0,5,4,2,6,50,1,3,66.67,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,12,1,8,1,25,0,4,4,6,4,0,1,0,55.56,0,0,0,4,5,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,13,1,1,1,24,0,7,6,5,1,0,1,4,77.78,150,0,0,13,4,2,0,40,0,0,0,0,0,0,0,1
1,3,3,1,2,13,1,1,2,23,0,6,4,7,4,0,1,5,77.78,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,2,13,1,8,1,24,0,4,4,5,2,0,1,6,66.67,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,2,13,1,8,1,24,0,6,7,3,1,0,1,5,77.78,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,2,13,1,8,1,25,0,6,6,3,1,0,1,5,77.78,0,1,0,9,3,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,13,1,8,2,24,0,6,6,0,6,0,1,3,60,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,2,14,1,1,2,21,0,3,3,2,2,30,1,0,80,2100,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,1,2,53,4,1,1,5,5,50,1,5,82.22,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
1,3,3,2,2,14,1,1,1,23,0,7,4,7,6,0,1,5,77.78,0,0,0,9,5,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,1,2,23,0,6,6,4,1,0,1,1,84.44,0,0,0,9,4,1,1,20,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,9,2,24,0,4,4,3,2,0,1,0,86.67,0,1,0,2,4,1,1,0,0,0,0,0,0,0,0,1
1,3,3,2,2,14,1,9,1,67,6,1,1,0,0,0,1,0,100,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0
1,3,5,2,2,14,1,8,2,24,0,4,4,1,1,0,2,2,91.11,0,0,0,4,3,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,8,2,24,0,4,4,7,3,0,1,1,93.33,1500,0,0,12,5,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,2,14,1,8,2,44,6,4,3,2,4,20,1,0,84.44,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
